molecule_chembl_id,canonical_smiles,median_ec50_nM,min_ec50_nM,max_ec50_nM,median_pEC50,bioactivity_class
CHEMBL1463659,Cn1nc(-c2ccccn2)nc2c(=O)n(C)c(=O)nc1-2,19.1,19.1,19.1,7.718966632752272,active
CHEMBL3195749,COC(=O)c1ccccc1NC1=C/C(=N\S(=O)(=O)c2cccs2)c2ccccc2C1=O,20.8,20.8,20.8,7.681936665037238,active
CHEMBL601757,Cc1nc2c(=O)n(C)c(=O)nc-2n(C)n1,20.9,20.9,20.9,7.679853713888946,active
CHEMBL1334062,Cn1nc(-c2ccc(Cl)cc2)nc2c(=O)n(C)c(=O)nc1-2,30.5,30.5,30.5,7.515700160653214,active
CHEMBL1370184,CC(=O)Oc1c(/C=C(\C#N)C(N)=O)[nH]c2ccccc12,31.4,31.4,31.4,7.503070351926786,active
CHEMBL1576509,COc1ccccc1/C=C1/C(=O)N(c2ccccc2)N=C1C,35.6,35.6,35.6,7.448550002027124,active
CHEMBL599924,CCn1nc(/C=C/c2ccccc2)nc2c(=O)n(C)c(=O)nc1-2,36.8,36.8,36.8,7.434152181326482,active
CHEMBL1364506,CC(=O)Nc1ccc(NC(=O)CSc2ncc(C(=O)Nc3ccccc3)c(=O)n2C)cc1,43.0,43.0,43.0,7.366531544420413,active
CHEMBL1733474,O=S(=O)(Nc1ccc(O)c2ccccc12)c1ccc(F)cc1,46.6,46.6,46.6,7.33161408331,active
CHEMBL1510156,CC(NC(=O)Cn1ncc(Cl)c(Cl)c1=O)C12CC3CC(CC(C3)C1)C2,47.0,47.0,47.0,7.327902142064282,active
CHEMBL1507162,COc1ccc(S(=O)(=O)Nc2ccc(O)c3ccccc23)cc1,47.8,47.8,47.8,7.320572103387882,active
CHEMBL1590201,Cc1c([N+](=O)[O-])cnc(Sc2ccccc2)c1[N+](=O)[O-],47.9,47.9,47.9,7.319664486585436,active
CHEMBL1600684,CCc1ccc(S(=O)(=O)Nc2ccc(O)c3ccccc23)cc1,48.2,48.2,48.2,7.31695296176115,active
CHEMBL579318,Cc1oc2c(c1C(=O)NCc1cccnc1)C(=O)c1ccccc1C2=O,63.9,63.9,63.9,7.1944991418416,active
CHEMBL2003651,O=C(O)c1ccc(S(=O)(=O)/N=C2\C=C(Nc3ccccc3F)C(=O)c3ccccc32)cc1,66.3,66.3,66.3,7.178486471595226,active
CHEMBL1573331,O=S(=O)(Nc1ccc(O)c2ccccc12)c1ccc(OC(F)(F)F)cc1,66.6,66.6,66.6,7.176525770829699,active
CHEMBL3197091,Cc1cc(C)c(S(=O)(=O)/N=C2\C=C(Nc3ccc(C(=O)O)cc3)C(=O)c3ccccc32)c(C)c1,69.6,69.6,69.6,7.157390760389438,active
CHEMBL1479483,Cc1ccc(S(=O)(=O)Nc2ccc(O)c3ccccc23)c(C)c1,70.2,70.2,70.2,7.153662887870195,active
CHEMBL1329726,COc1cc(NC2CCCCC2O)c2nc(-c3ccc(Cl)cc3)ccc2c1,72.8,72.8,72.8,7.137868620686962,active
CHEMBL1601281,COc1ccc(C(=O)Nc2ccc(O)c3ccccc23)cc1,74.4,74.4,74.4,7.128427064454121,active
CHEMBL1521758,Cc1ccc(C)c(S(=O)(=O)Nc2ccc(O)c3ccccc23)c1,74.5,74.5,74.5,7.127843727251707,active
CHEMBL36654,CN1CCc2cc3c(c4c2C1Cc1ccccc1-4)OCO3,79.7,79.7,79.7,7.098541678603888,active
CHEMBL1405964,CCCCn1c(NS(=O)(=O)c2ccccc2)c(S(=O)(=O)c2ccc(C)cc2)c2nc3ccccc3nc21,80.1,80.1,80.1,7.096367483915762,active
CHEMBL1384702,COc1ccc(C(=O)c2c(C(F)(F)F)oc3c2C(=O)c2ccccc2C3=O)cc1,82.5,82.5,82.5,7.0835460514500745,active
CHEMBL1417929,O=C(NC1=C(NC2CCS(=O)(=O)C2)C(=O)c2ccccc2C1=O)c1ccccc1,101.0,101.0,101.0,6.995678626217357,active
CHEMBL1489633,CCOC(=O)CC1=NN(c2ccccc2)C(=O)/C1=C\c1ccc(OC)cc1OC,104.0,104.0,104.0,6.982966660701219,active
CHEMBL1542693,CN(C1=C(NC(=O)c2ccccc2)C(=O)c2ccccc2C1=O)C1CCS(=O)(=O)C1,108.0,108.0,108.0,6.96657624451305,active
CHEMBL1583199,N#Cc1c(N2CCCC2)nc(N)c2c(N)nc(N3CCCC3)cc12,109.0,109.0,109.0,6.962573502059376,active
CHEMBL3196451,Cc1ccc(NC2=C/C(=N/S(=O)(=O)c3cccs3)c3ccccc3C2=O)cc1,119.0,119.0,119.0,6.924453038607469,active
CHEMBL2000517,O=C1C(Nc2ccc(O)cc2)=C/C(=N/S(=O)(=O)c2cccs2)c2ccccc21,123.0,123.0,123.0,6.910094888560602,active
CHEMBL3195410,CCc1ccc(S(=O)(=O)/N=C2\C=C(Nc3ccc(C(=O)O)cc3)C(=O)c3ccccc32)cc1,124.0,124.0,124.0,6.906578314837764,active
